Time [s],TrunkUnknown,LUUnknown1,LUUnknown2,LUUnknown3,LUUnknown4,LUKnown,Clock
2.774955122,0,0,0,0,0,0,0
2.775005042,0,0,0,0,0,0,0
2.775054962,1,1,0,1,1,1,1
2.775104882,1,1,1,1,1,1,1
2.775154802,1,1,1,1,1,1,1
2.775204722,1,1,1,1,1,1,1
2.775254642,1,1,1,1,1,1,1
2.775304562,1,1,1,1,1,1,1
2.775354482,1,1,1,1,1,1,1
2.775404402,1,1,1,1,1,1,1
2.775454322,1,1,1,1,1,1,1
2.775504242,1,1,1,1,1,1,1
2.775554162,1,1,1,1,1,1,1
2.775604082,1,1,1,1,1,1,1
2.775654002,1,1,1,1,1,1,0
2.775703922,1,1,1,1,1,1,0
2.775753842,1,1,1,1,1,1,0
2.775803762,1,1,1,1,1,1,0
2.775853682,1,1,1,1,1,1,0
2.775903602,1,1,1,1,1,1,0
2.775953522,1,1,1,1,1,1,0
2.776003442,1,1,1,1,1,1,0
2.776053362,1,1,1,1,1,1,0
2.776103282,1,1,1,1,1,1,0
2.776153202,1,1,1,1,1,1,0
2.776203122,1,1,1,1,1,1,0
2.776253042,1,1,1,1,1,1,0
2.776302962,1,1,1,1,1,1,1
2.776352882,1,1,1,1,1,1,1
2.776402802,1,1,1,1,1,1,1
2.776452722,1,1,1,1,1,1,1
2.776502642,1,1,1,1,1,1,1
2.776552562,1,1,1,1,1,1,1
2.776602482,1,1,1,1,1,1,1
2.776652402,1,1,1,1,1,1,1
2.776702322,1,1,1,1,1,1,1
2.776752242,1,1,1,1,1,1,1
2.776802162,1,1,1,1,1,1,1
2.776852082,1,1,1,1,1,1,1
2.776902002,1,1,1,1,1,1,0
2.776951922,1,1,1,1,1,1,0
2.777001842,1,1,1,1,1,1,0
2.777051762,1,1,1,1,1,1,0
2.777101682,1,1,1,1,1,1,0
2.777151602,1,1,1,1,1,1,0
2.777201522,1,1,1,1,1,1,0
2.777251442,1,1,1,1,1,1,0
2.777301362,1,1,1,1,1,1,0
2.777351282,1,1,1,1,1,1,0
2.777401202,1,1,1,1,1,1,0
