Time,Channel 2
4.052970240,1
4.053097440,0
4.053349600,1
4.053607840,0
4.053860160,1
4.054116320,0
4.054241440,1
4.054370560,0
4.054769760,1
4.055929760,0
4.056019200,1
4.056150240,0
4.056529600,1
4.056912960,0
4.057290400,1
4.057675680,0
4.058055040,1
4.058311360,0
4.058561600,1
4.058819840,0
4.059072160,1
4.059201120,0
4.059580640,1
4.059709760,0
4.059832800,1
4.060091040,0
4.060470400,1
4.060726720,0
4.061104000,1
4.061235200,0
4.061614560,1
4.061997920,0
4.062375200,1
4.062760640,0
4.063140000,1
4.063396160,0
4.063646560,1
4.063904800,0
4.064156960,1
4.064286080,0
4.064665440,1
4.064794560,0
4.064917760,1
4.065176000,0
4.065555360,1
4.065811520,0
4.066316000,1
4.066574240,0
4.066699360,1
4.066828480,0
4.066953600,1
4.067082720,0
4.067207840,1
4.067336960,0
4.067714400,1
4.067972640,0
4.068097760,1
4.068226880,0
4.068352000,1
4.068481120,0
4.068733440,1
4.068860480,0
4.069112800,1
4.069371040,0
4.069496160,1
4.069625280,0
4.069750400,1
4.069879520,0
4.070004640,1
4.070133760,0
4.070511040,1
4.070769280,0
4.070894400,1
4.071023520,0
4.071275840,1
4.071532000,0
4.071909440,1
4.072167680,0
4.072420000,1
4.072548960,0
4.072674240,1
4.072930400,0
4.073307840,1
4.073438880,0
4.073564000,1
4.073820320,0
4.073945440,1
4.074074560,0
4.074199680,1
4.074328800,0
4.074706080,1
4.074964320,0
4.075216640,1
4.075472800,0
4.075597920,1
4.075727040,0
4.076104480,1
4.076362720,0
4.076487840,1
4.076616960,0
4.076869280,1
4.076998240,0
4.077123520,1
4.077250560,0
4.077502880,1
4.077761120,0
4.078013280,1
4.078269600,0
4.078521760,1
4.078648960,0
4.078901120,1
4.079032320,0
4.079157440,1
4.079413600,0
4.079538720,1
4.079667840,0
4.079920160,1
4.080047200,0
4.080299520,1
4.080557760,0
4.080682880,1
4.080812000,0
4.080937120,1
4.081066240,0
4.081191360,1
4.081320480,0
4.081697920,1
4.081956160,0
4.082081280,1
4.082210400,0
4.082335520,1
4.082464640,0
4.082589760,1
4.082718880,0
4.083096160,1
4.083354400,0
4.083606720,1
4.083735840,0
4.083860960,1
4.084117120,0
4.084494560,1
4.084752800,0
4.084877920,1
4.085007040,0
4.085132160,1
4.085261280,0
4.085386400,1
4.085515520,0
4.085892960,1
4.086024000,0
4.086149120,1
4.086278240,0
4.086403360,1
4.086659680,0
4.086911840,1
4.087039040,0
4.087291200,1
4.087549440,0
4.087801760,1
4.088057920,0
4.088183040,1
4.088312160,0
4.088689600,1
4.088947840,0
4.089200000,1
4.089329120,0
4.089454240,1
4.089583360,0
4.089708480,1
4.089835680,0
4.090088000,1
4.090219040,0
4.090344160,1
4.090473280,0
4.090598400,1
4.090854720,0
4.090979840,1
4.091108960,0
4.091486240,1
4.091744480,0
4.091996800,1
4.092125920,0
4.092251040,1
4.092380160,0
4.092505280,1
4.092632320,0
4.092884640,1
4.093142880,0
4.093268000,1
4.093397120,0
4.093522240,1
4.093651360,0
4.093903520,1
4.094030720,0
4.094283040,1
4.094414080,0
4.094539200,1
4.094668320,0
4.094793440,1
4.094922560,0
4.095047680,1
4.095176800,0
4.095301920,1
4.095429120,0
4.095681280,1
4.095939520,0
4.096191840,1
4.096448000,0
4.096573120,1
4.096702240,0
4.097333920,1
4.097464960,0
4.097844320,1
4.098227680,0
4.098605120,1
4.098990400,0
4.099369920,1
4.099626080,0
4.099876320,1
4.100134560,0
4.100386880,1
4.100516000,0
4.100895360,1
4.101024480,0
4.101147520,1
4.101405760,0
4.101785120,1
4.102041440,0
4.102418720,1
4.102549920,0
4.102929280,1
4.103312640,0
4.103690080,1
4.104075360,0
4.104454720,1
4.104711040,0
4.104961280,1
4.105219520,0
4.105471680,1
4.105600800,0
4.105980160,1
4.106109280,0
4.106232480,1
4.106490720,0
4.106870080,1
4.107126240,0
4.107630880,1
4.107888960,0
4.108014240,1
4.108143360,0
4.108268480,1
4.108397600,0
4.108522720,1
4.108651840,0
4.109029120,1
4.109287360,0
4.109412480,1
4.109541600,0
4.109666720,1
4.109795840,0
4.110048160,1
4.110175200,0
4.110427520,1
4.110685760,0
4.110810880,1
4.110940000,0
4.111065120,1
4.111194240,0
4.111319360,1
4.111448480,0
4.111825920,1
4.112084160,0
4.112209280,1
4.112338400,0
4.112590560,1
4.112846880,0
4.113224160,1
4.113482400,0
4.113734720,1
4.113863840,0
4.113988960,1
4.114245120,0
4.114622560,1
4.114753600,0
4.114878720,1
4.115135040,0
4.115260160,1
4.115389280,0
4.115514400,1
4.115643520,0
4.116020960,1
4.116279200,0
4.116531360,1
4.116787680,0
4.116912800,1
4.117041920,0
4.117419200,1
4.117677440,0
4.117802560,1
4.117931680,0
4.118184000,1
4.118313120,0
4.118438240,1
4.118565280,0
4.118817600,1
4.119075840,0
4.119328000,1
4.119584320,0
4.119836640,1
4.119963680,0
4.120216000,1
4.120347040,0
4.120472160,1
4.120728480,0
4.120853600,1
4.120982720,0
4.121234880,1
4.121362080,0
4.121614240,1
4.121872480,0
